排名,排名变化,全名_中文,全名_英文,年龄,出生地_中文,出生地_英文,性别,照片,公司名称_中文,公司名称_英文,公司总部地_中文,公司总部地_英文,所在行业_中文,所在行业_英文,组织结构,财富值_人民币_亿,财富值变化,财富值_美元,年份
1,2,钟睒睒,Zhong Shanshan,67,中国-浙江-绍兴,,先生,https://res.hurun.cn/photo/005216_Zhong_Shanshan.jpg,养生堂,YST,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料、医疗保健,"Drinks, Pharmaceuticals",未知,3900.0,7%,60500.0,2021-10-27
2,28,张一鸣,Zhang Yiming,38,中国-福建-龙岩,China-Fujian-Longyan,先生,https://res.hurun.cn/photo/000022_Zhang_Yiming.jpg,字节跳动,ByteDance,中国-北京,China-Beijing,社交媒体,Social Media,未知,3400.0,209%,52800.0,2021-10-27
3,21,曾毓群,Zeng Yuqun,53,中国-福建-宁德,China-Fujian-Ningde,先生,https://res.hurun.cn/photo/000057_Zeng_Yuqun.jpg,宁德时代,CATL,中国-福建-宁德,China-Fujian-Ningde,锂电池,Battery Technology,未知,3200.0,167%,49700.0,2021-10-27
4,-2,马化腾,Ma Huateng,50,中国-海南,China-Hainan,先生,https://res.hurun.cn/photo/000002_Ma_Huateng.jpg,腾讯,Tencent,中国-广东-深圳,China-Guangdong-Shenzhen,互联网服务,Internet Services,未知,3170.0,-19%,49200.0,2021-10-27
5,-4,马云,Ma Yun,57,中国-浙江-杭州,China-Zhejiang-Hangzhou,先生,https://res.hurun.cn/photo/000001_Ma_Yun.jpg,阿里系,Alibaba,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务、金融科技,"E-Commerce, Fintech",未知,2550.0,-36%,39600.0,2021-10-27
6,2,黄峥,Huang Zheng,41,中国-浙江-杭州,China-Zhejiang-Hangzhou,先生,https://res.hurun.cn/photo/000007_Huang_Zheng.jpg,拼多多,Pinduoduo,中国-上海-长宁,China-Shanghai-Changning,购物网站,E-Commerce,未知,2290.0,4%,35600.0,2021-10-27
7,89,魏建军,Wei Jianjun,57,中国-河北-保定,China-Hebei-Baoding,先生,https://res.hurun.cn/photo/000088_Wei_Jianjun.jpg,长城,Great Wall Motor,中国-河北-保定,China-Hebei-Baoding,汽车制造,Automobile,未知,2180.0,384%,33900.0,2021-10-27
8,New,李嘉诚,Li Ka-shing,93,中国-香港,China-Hong Kong,先生,https://res.hurun.cn/default/icon_men.jpg,长江实业,Cheung Kong,中国-香港,China-Hong Kong,投资,Estate Holding,未知,2150.0,New,33400.0,2021-10-27
9,-3,何享健,He Xiangjian,79,中国-广东-佛山,China-Guangdong-Foshan,先生,https://res.hurun.cn/photo/000004_He_Xiangjian.jpg,美的,Midea,中国-广东-佛山,China-Guangdong-Foshan,家电制造、房地产,"Household Appliances, Real Estate",未知,2130.0,-5%,33100.0,2021-10-27
10,-6,王卫,Wang Wei,51,中国-上海,China-Shanghai,先生,https://res.hurun.cn/photo/000012_Wang_Wei.jpg,顺丰,SF,中国-广东-深圳,China-Guangdong-Shenzhen,快递,Express Delivery,未知,1930.0,-20%,30000.0,2021-10-27
11,-5,杨惠妍,Yang Huiyan,40,中国-广东-佛山,China-Guangdong-Foshan,女士,https://res.hurun.cn/photo/000006_Yang_Huiyan.jpg,碧桂园,Country Garden,中国-广东-佛山,China-Guangdong-Foshan,房地产、教育,"Real Estate, Education",未知,1850.0,-18%,28700.0,2021-10-27
12,8,陈建华,Chen Jianhua,50,中国-江苏-苏州,China-Jiangsu-Suzhou,先生,https://res.hurun.cn/photo/000013_Chen_Jianhua.jpg,恒力,Hengli,中国-江苏-苏州,China-Jiangsu-Suzhou,化纤、石化、房地产,"Textiles, Chemical Fiber, Real Estate",未知,1790.0,33%,27800.0,2021-10-27
13,11,李书福,Li Shufu,58,中国-浙江-台州,China-Zhejiang-Taizhou,先生,https://res.hurun.cn/photo/000015_Li_Shufu.jpg,吉利,Geely ,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造,Car Manufacturing,未知,1750.0,46%,27200.0,2021-10-27
14,-6,丁磊,Ding Lei,50,中国-浙江-宁波,China-Zhejiang-Ningbo,先生,https://res.hurun.cn/photo/000008_Ding_Lei.jpg,网易,Netease,中国-浙江-杭州,China-Zhejiang-Hangzhou,互联网技术,Internet Services,未知,1710.0,-22%,26600.0,2021-10-27
15,New,李兆基,Lee Shau Kee,93,中国-广东-佛山,China-Guangdong-Foshan,先生,https://res.hurun.cn/default/icon_men.jpg,恒基兆业,Henderson Land,中国-香港,China-Hong Kong,房地产,Estate Holding,未知,1700.0,New,26400.0,2021-10-27
15,-5,秦英林,Qin Yinglin,56,中国-河南-南阳,China - Henan - Nanyang,先生,https://res.hurun.cn/photo/000016_Qin_Yinglin.jpg,牧原,Muyuan,中国-河南-南阳,China-Henan-Nanyang,畜牧,Pig Farming,未知,1700.0,-15%,26400.0,2021-10-27
17,-6,庞康,Pang Kang,65,中国-广东-佛山,China-Guangdong-Foshan,先生,https://res.hurun.cn/photo/000023_Pang_Kang.jpg,海天味业,Haitian,中国-广东-佛山,China-Guangdong-Foshan,调味品,Food Flavorings,未知,1580.0,-19%,24500.0,2021-10-27
18,New,郑家纯,Henry Cheng Kar-shun,73,中国-香港,China-Hong Kong,先生,https://res.hurun.cn/default/icon_men.jpg,周大福,Chow Tai Fook,中国-香港,China-Hong Kong,房地产,Estate Holding,未知,1550.0,New,24100.0,2021-10-27
19,-6,王兴,Wang Xing,42,中国-福建-龙岩,China-Fujian-Longyan,先生,https://res.hurun.cn/photo/000068_Wang_Xing.jpg,美团,Meituan,中国-北京,China-Beijing,生活服务,Life Service,未知,1460.0,-14%,22700.0,2021-10-27
20,63,王传福,Wang Chuanfu,55,中国-安徽-芜湖,China -Anhui - Wuhu,先生,https://res.hurun.cn/photo/000097_Wang_Chuanfu.jpg,比亚迪,BYD,中国-广东-深圳,China-Guangdong-Shenzhen,汽车、充电电池,"Automobile, New Energy",未知,1420.0,178%,22000.0,2021-10-27
21,-1,蒋仁生,Jiang Rensheng,68,中国-广西-桂林,China-Guangxi-Guilin,先生,https://res.hurun.cn/photo/000050_Jiang_Rensheng.jpg,智飞生物,Zhifei,中国-重庆,China-Chongqing,疫苗,Vaccines,未知,1400.0,4%,21700.0,2021-10-27
21,-8,雷军,Lei Jun,52,中国-湖北-仙桃,China -Hubei - Fairy Peach,先生,https://res.hurun.cn/photo/000029_Lei_Jun.jpg,小米,Xiaomi,中国-北京,China-Beijing,智能硬件与技术、投资,"IoT, Investments",未知,1400.0,-18%,21700.0,2021-10-27
21,220,罗立国,Luo Liguo,65,中国-浙江-宁波,China-Zhejiang-Ningbo,先生,https://res.hurun.cn/default/icon_men.jpg,合盛,Hoshine,中国-浙江-宁波,China-Zhejiang-Ningbo,硅材料,Silicon,未知,1400.0,551%,21700.0,2021-10-27
24,51,黄世霖,Huang Shilin,54,中国-福建-宁德,China-Fujian-Ningde,先生,https://res.hurun.cn/default/icon_men.jpg,宁德时代,CATL,中国-福建-宁德,China-Fujian-Ningde,锂电池,Battery Technology,未知,1380.0,151%,21400.0,2021-10-27
25,59,吕向阳,Lyu Xiangyang,58,中国-安徽-芜湖,China -Anhui - Wuhu,先生,https://res.hurun.cn/default/icon_men.jpg,融捷,Youngy,中国-广东-广州,China-Guangdong-Guangzhou,投资,Investments,未知,1360.0,172%,21100.0,2021-10-27
26,15,陈邦,Chen Bang,56,中国-湖南-长沙,China-Hunan-Changsha,先生,https://res.hurun.cn/photo/000047_Chen_Bang.jpg,爱尔眼科,Aier Ophthalmology,中国-湖南-长沙,China-Hunan-Changsha,医疗服务,Medical Services ,未知,1350.0,35%,21000.0,2021-10-27
26,-10,刘强东,Liu Qiangdong,47,中国-江苏-宿迁,China-Jiangsu-Cebu,先生,https://res.hurun.cn/photo/000028_Liu_Qiangdong.jpg,京东,JD,中国-北京,China-Beijing,电子商务、金融,"E-Commerce, Financial Services",未知,1350.0,-16%,21000.0,2021-10-27
28,2,刘永行,Liu Yongxing,73,中国-四川-成都,China - Sichuan-Chengdu,先生,https://res.hurun.cn/photo/000030_Liu_Yongxing.jpg,东方希望,East Hope,中国-上海-浦东,China-Shanghai-Pudong,氧化铝、重化工、饲料,"Aluminium, Feed",未知,1300.0,18%,20200.0,2021-10-27
29,-16,张志东,Zhang Zhidong,49,中国-广东-东莞,China-Guangdong-Dongguan,先生,https://res.hurun.cn/photo/000014_Zhang_Zhidong.jpg,腾讯,Tencent,中国-广东-深圳,China-Guangdong-Shenzhen,互联网服务,Internet Services,未知,1270.0,-25%,19700.0,2021-10-27
30,38,李小冬,Forrest Xiaodong Li,43,,,先生,https://res.hurun.cn/default/icon_men.jpg,冬海集团,Sea,新加坡,Singapore,网络游戏、电商,"Online Games, E-Commerce",未知,1250.0,108%,19400.0,2021-10-27
30,33,刘汉元,Liu Hanyuan,57,中国-四川-眉山,China - Sichuan-Meishan,先生,https://res.hurun.cn/,通威,Tongwei ,中国-四川-成都,China-Sichuan-Chengdu,新能源、农业,"New Energy, Agriculture",未知,1250.0,98%,19400.0,2021-10-27
30,-12,严昊,Yan Hao,35,中国-江苏-淮安,China -Jiangsu - Huai’an,先生,https://res.hurun.cn/photo/000010_Yan_Hao.jpg,太平洋建设,China Pacific Construction ,中国-新疆-乌鲁木齐,China-Xinjiang-Urumchi,基础建设,Roads,未知,1250.0,-14%,19400.0,2021-10-27
33,New,李蔡美灵,Lee Choi Mei Ling,未知,中国-香港,China-Hong Kong,先生,https://res.hurun.cn/default/icon_men.jpg,李锦记,Lee Kun Kee,中国-香港,China-Hong Kong,食品加工,Food Processing,未知,1200.0,New,18600.0,2021-10-27
33,3,宗庆后,Zong Qinghou,76,中国-江苏-宿迁,China-Jiangsu-Cebu,先生,https://res.hurun.cn/photo/000025_Zong_Qinghou.jpg,娃哈哈,Wahaha,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料,Drinks,未知,1200.0,14%,18600.0,2021-10-27
35,-11,徐航,Xu Hang,59,中国-广东,China-Guangdong,先生,https://res.hurun.cn/photo/000032_Xu_Hang.jpg,迈瑞、鹏瑞,"Mindray, Parkland",中国-广东-深圳,China-Guangdong-Shenzhen,医疗器械、房地产,"Health Tech, Real Estate",未知,1180.0,-2%,18300.0,2021-10-27
36,0,王文银,Wang Wenyin,53,中国-安徽-安庆,China -Anhui -Anqing,先生,https://res.hurun.cn/photo/000017_Wang_WenYin.jpg,正威,Amer,中国-广东-深圳,China-Guangdong-Shenzhen,有色金属,"Copper, Mining",未知,1160.0,10%,18000.0,2021-10-27
37,-10,李西廷,Li Xiting,70,中国-安徽-宿州,China-Anhui-Ceju,先生,https://res.hurun.cn/photo/000040_Li_Xiting.jpg,迈瑞,Mindray,中国-广东-深圳,China-Guangdong-Shenzhen,医疗器械,Pharmaceuticals,未知,1150.0,0%,17900.0,2021-10-27
37,-7,严彬,Yan Bin,67,中国-山东-莱州,China-Shandong-Laizhou,先生,https://res.hurun.cn/default/icon_men.jpg,华彬,Reignwood,中国-北京,China-Beijing,饮料、地产,"Red Bull, Real Estate",未知,1150.0,5%,17900.0,2021-10-27
39,New,吴光正,Peter Woo Kwong-ching,75,中国-上海,China-Shanghai,先生,https://res.hurun.cn/default/icon_men.jpg,会德丰,Wheelock,中国-香港,China-Hong Kong,房地产,Estate Holding,未知,1100.0,New,17100.0,2021-10-27
40,-17,许荣茂,Xu Rongmao,71,中国-福建-泉州,China-Fujian-Quanzhou,先生,https://res.hurun.cn/default/icon_men.jpg,世茂,Shimao,中国-上海-黄浦,China-Shanghai-Huangpu,房地产,Real Estate,未知,1080.0,-17%,16800.0,2021-10-27
41,-25,刘永好,Liu Yonghao,70,中国-四川-成都,China - Sichuan-Chengdu,先生,https://res.hurun.cn/photo/000026_Liu_Yonghao.jpg,新希望,New Hope ,中国-四川-成都,China-Sichuan-Chengdu,农业、化工、金融,"Agriculture, Finance",未知,1050.0,-34%,16300.0,2021-10-27
41,-11,王健林,Wang Jianlin,67,中国-四川-绵阳,China - Sichuan - Mianyang,先生,https://res.hurun.cn/photo/000009_Wang_Jianlin.jpg,万达,Wanda,中国-北京,China-Beijing,房地产、文化,Real Estate,未知,1050.0,-5%,16300.0,2021-10-27
43,14,李水荣,Li Shuirong,65,中国-浙江,China-Zhejiang,先生,https://res.hurun.cn/photo/000073_Li_Shuirong.jpg,荣盛控股,RongSheng ,中国-浙江-杭州,China-Zhejiang-Hangzhou,化纤,Chemical Fibres,未知,1030.0,58%,16000.0,2021-10-27
43,16,郑淑良,Zheng Shuliang,75,中国-山东,China-Shandong,先生,https://res.hurun.cn/default/icon_men.jpg,魏桥创业,Weiqiao Pioneering,中国-山东-滨州,China-Shandong-Binzhou,铝业、纺织,"Aluminum, Textiles",未知,1030.0,61%,16000.0,2021-10-27
45,5,党彦宝,Dang Yanbao,48,,,先生,https://res.hurun.cn/default/icon_men.jpg,宝丰,Baofeng Energy,宁夏-银川,Ningxia-Yinchuan,煤化工,Coal Chemical,未知,1000.0,43%,15500.0,2021-10-27
46,17,陈东升,Chen Dongsheng,64,中国-湖北-荆门,China -Hubei - Jingmen,先生,https://res.hurun.cn/photo/000048_Chen_Dongsheng.jpg,泰康,Taikang,中国-北京,China-Beijing,保险,Insurance,未知,950.0,51%,14800.0,2021-10-27
46,-16,吴亚军,Wu Yajun,57,中国-重庆,China-Chongqing,女士,https://res.hurun.cn/photo/000024_Wu_Yajun.jpg,龙湖,Longfor,中国-北京,China-Beijing,房地产,Real Estate,未知,950.0,-14%,14800.0,2021-10-27
46,-35,张勇,Zhang Yong,50,中国-四川-成都,China - Sichuan-Chengdu,先生,https://res.hurun.cn/photo/000011_Zhang_Yong.jpg,海底捞,HaiDiLao,中国-北京,China-Beijing,餐饮,Restaurants,未知,950.0,-51%,14800.0,2021-10-27
49,106,裴振华,Pei Zhenhua,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,天华超净,Canmax,中国-江苏-苏州,China-Jiangsu-Suzhou,超净产品,Electronic Metials,未知,920.0,192%,14400.0,2021-10-27
50,-20,袁征,Yuan Zheng,51,中国-山东,China-Shandong,先生,https://res.hurun.cn/default/icon_men.jpg,zoom,zoom,美国-旧金山,United States-San Francisco,视频软件,Video Software,未知,905.0,-18%,14100.0,2021-10-27
51,-1,龚虹嘉,Gong Hongjia,56,,,先生,https://res.hurun.cn/photo/000034_Gong_Hongjia.jpg,海康威视,Hikvision,中国-浙江-杭州,China-Zhejiang-Hangzhou,视频监控产品,Video Surveillance Products,未知,900.0,29%,14000.0,2021-10-27
51,New,刘銮雄,Joseph Lau Luen Hung,70,中国-香港,China-Hong Kong,先生,https://res.hurun.cn/default/icon_men.jpg,华人置业,Chinese Estates,中国-香港,China-Hong Kong,房地产,Estate Holding,未知,900.0,New,14000.0,2021-10-27
51,17,其实,Qi Shi,51,中国-上海,China-Shanghai,先生,https://res.hurun.cn/default/icon_men.jpg,东方财富,Eastmoney,中国-上海-徐汇,China-Shanghai-Xuhui,信息服务,Data Services,未知,900.0,50%,14000.0,2021-10-27
54,36,李振国,Li Zhengguo,53,中国-甘肃-兰州,China -Gansu-Lanzhou,先生,https://res.hurun.cn/default/icon_men.jpg,隆基,Longi,中国-陕西-西安,China-Shaanxi-Xi'an,硅材料,Silicon Materials,未知,885.0,86%,13750.0,2021-10-27
55,36,徐浩宇,Xu Haoyu,49,中国-江苏-泰州,China-Jiangsu-Taizhou,先生,https://res.hurun.cn/default/icon_men.jpg,扬子江药业,Yangtze River Pharmacy,中国-江苏-泰州,China-Jiangsu-Taizhou,医药,Pharmaceuticals,未知,880.0,87%,13700.0,2021-10-27
55,New,张聪渊,Zhang Congyuan,73,中国-台湾-桃园,China-Taiwan-Taoyuan,先生,https://res.hurun.cn/default/icon_men.jpg,华利实业,Huali Industrial,中国-广东-中山,China-Guangdong-Zhongshan,鞋业,Footwear,未知,880.0,New,13700.0,2021-10-27
57,56,林建华,Lin Jianhua,59,中国-福建,China-Fujian,先生,https://res.hurun.cn/default/icon_men.jpg,福斯特,First,中国-浙江-杭州,China-Zhejiang-Hangzhou,光伏材料,Photovoltaic,未知,855.0,109%,13300.0,2021-10-27
58,8,汪立平,Wang Liping,55,中国-江苏-无锡,China-Jiangsu-Wuxi,先生,https://res.hurun.cn/default/icon_men.jpg,恒立液压,Hengli Hydraulic,中国-江苏-常州,China-Jiangsu-Changzhou,高压油缸,Oil Cylinder,未知,845.0,36%,13100.0,2021-10-27
59,-11,李彦宏,Li Yanhong,53,中国-山西-阳泉,China -Shanxi - Yangquan,先生,https://res.hurun.cn/photo/000035_Li_Yanhong.jpg,百度,Baidu,中国-北京,China-Beijing,网络信息服务,Internet Information Services,未知,840.0,14%,13000.0,2021-10-27
60,-10,马建荣,Ma Jianrong,56,中国-浙江,China-Zhejiang,先生,https://res.hurun.cn/default/icon_men.jpg,申洲针织,Shenzhou,中国-浙江-宁波,China-Zhejiang-Ningbo,纺织、服装,Textiles,未知,820.0,17%,12700.0,2021-10-27
61,-15,林立,Lin Li,58,中国-广东-河源,China-Guangdong-Heyuan,先生,https://res.hurun.cn/photo/000020_Lin_Li.jpg,立业,Liye,中国-广东-深圳,China-Guangdong-Shenzhen,投资,Investments,未知,810.0,-10%,12600.0,2021-10-27
61,-34,周群飞,Zhou Qunfei,51,中国-湖南-湘潭,China-Hunan-Xiangtan,女士,https://res.hurun.cn/photo/000085_Zhou_Qunfei.jpg,蓝思科技,Lens,中国-湖南-长沙,China-Hunan-Changsha,电子器件制造,Manufacturing,未知,810.0,-30%,12600.0,2021-10-27
63,125,缪汉根,Miao Hangen,56,中国-江苏-苏州,China-Jiangsu-Suzhou,先生,https://res.hurun.cn/photo/000121_Miao_Hangen.jpg,盛虹,Shenghong Printing & Dyeing,中国-江苏-苏州,China-Jiangsu-Suzhou,印染、化纤、房地产,"Printing and Dyeing, Chemical Fiber, Real Estate",未知,800.0,196%,12400.0,2021-10-27
63,12,虞仁荣,Yu Renrong,55,,,先生,https://res.hurun.cn/default/icon_men.jpg,韦尔股份,Will,中国-上海-浦东,China-Shanghai-Pudong,半导体,Semiconductor,未知,800.0,45%,12400.0,2021-10-27
65,-15,王玉锁,Wang Yusuo,57,中国-河北-廊坊,China-Hebei-Langfang,先生,https://res.hurun.cn/photo/000037_Wang_Yusuo.jpg,新奥,ENN,中国-河北-廊坊,China-Hebei-Langfang,天然气、能源化工,"Gas, Energy",未知,780.0,11%,12100.0,2021-10-27
66,35,丁世忠,Ding Shizhong,51,中国-福建-泉州,China-Fujian-Quanzhou,先生,https://res.hurun.cn/photo/000081_Ding_Shizhong.jpg,安踏,Anta,中国-福建-厦门,China-Fujian-Xiamen,体育用品,Sportswear,未知,770.0,73%,12000.0,2021-10-27
67,39,丁世家,Ding Shijia,57,中国-福建-泉州,China-Fujian-Quanzhou,先生,https://res.hurun.cn/default/icon_men.jpg,安踏,Anta,中国-福建-厦门,China-Fujian-Xiamen,体育用品,Sportswear,未知,760.0,75%,11800.0,2021-10-27
68,New,吕志和,Lui Che Woo,92,中国-香港,China-Hong Kong,先生,https://res.hurun.cn/default/icon_men.jpg,银河,Galaxy Entertainment,中国-香港,China-Hong Kong,博彩,Gaming,未知,750.0,New,11600.0,2021-10-27
69,54,于泳,Yu Yong,未知,,,先生,https://res.hurun.cn/default/icon_men.jpg,鸿商产业,Cathay Fortune,中国-上海-浦东,China-Shanghai-Pudong,钼矿,Molybdenum Minerals,未知,740.0,97%,11500.0,2021-10-27
70,-65,许家印,Xu Jiayin,63,中国-河南-周口,China - Henan - Zhoukou,先生,https://res.hurun.cn/photo/000003_Xu _Jiayin.jpg,恒大,Evergrande,中国-广东-深圳,China-Guangdong-Shenzhen,房地产、投资,"Real Estate, Investments",未知,730.0,-69%,11300.0,2021-10-27
71,68,李晓明,Li Xiaoming,63,,,先生,https://res.hurun.cn/default/icon_men.jpg,恩捷股份,Energy New Material,中国-云南-玉溪,China-Yunnan-Yuxi,包装盒生产,Packaging Production,未知,725.0,110%,11250.0,2021-10-27
72,-4,张刚,Zhang Gang,40,中国-山东-聊城,China -Shandong - Liaocheng,先生,https://res.hurun.cn/default/icon_men.jpg,信发铝电,Xinfalyudian ,中国-山东-聊城,China-Shandong-Chat City,电解铝、氧化铝,Aluminum,未知,720.0,20%,11200.0,2021-10-27
73,22,朱孟依,Zhu Mengyi,62,中国-广东-梅州,China-Guangdong-Meizhou,先生,https://res.hurun.cn/default/icon_men.jpg,合生创展,Hopson,中国-广东-广州,China-Guangdong-Guangzhou,房地产、投资,Real Estate,未知,710.0,56%,11000.0,2021-10-27
74,-20,李华,Li Hua,55,中国-四川,China - Sichuan,先生,https://res.hurun.cn/default/icon_men.jpg,卓越,Excellence,中国-广东-深圳,China-Guangdong-Shenzhen,房地产,Real Estate,未知,705.0,2%,10950.0,2021-10-27
75,New,邝肖卿,Kwong Siu Hing,92,中国-香港,China-Hong Kong,女士,https://res.hurun.cn/default/icon_women.jpg,新鸿基,Sun Hung Kai,中国-香港,China-Hong Kong,房地产,Estate Holding,未知,700.0,New,10900.0,2021-10-27
75,12,李革,Li Ge,54,中国-北京,China-Beijing,先生,https://res.hurun.cn/photo/000104_Li_Ge.jpg,药明康德,Wuxi Pharma Tech,中国-上海-浦东,China-Shanghai-Pudong,医药,Pharmaceuticals,未知,700.0,43%,10900.0,2021-10-27
75,70,叶刚,Ye Gang,40,,,先生,https://res.hurun.cn/default/icon_men.jpg,冬海集团,Sea,新加坡,Singapore,网络游戏、电商,"Online Games, E-Commerce",未知,700.0,112%,10900.0,2021-10-27
75,-55,钟慧娟,Zhong Huijuan,60,,,女士,https://res.hurun.cn/photo/001821_Zhong_Huijuan.jpg,翰森,Hansoh,中国-江苏-连云港,China-Jiangsu-Lianyun Port,医药,Pharmaceuticals,未知,700.0,-48%,10900.0,2021-10-27
79,45,刘金成,Liu Jincheng,57,中国-湖北-武汉,China -Hubei-Wuhan,先生,https://res.hurun.cn/photo/000281_Liu_Jincheng.jpg,亿纬锂能,EVE Energy,中国-广东-惠州,China-Guangdong-Huizhou,锂电池,Lithium Battery,未知,695.0,88%,10800.0,2021-10-27
80,16,李贤义,Li Xianyi,69,中国-福建-泉州,China-Fujian-Quanzhou,先生,https://res.hurun.cn/default/icon_men.jpg,信义,Xinyi Glass,中国-香港,China-Hong Kong,玻璃,Glass,未知,675.0,50%,10500.0,2021-10-27
80,-53,孙飘扬,Sun Piaoyang,63,中国-江苏-镇江,China-Jiangsu-Jiang,先生,https://res.hurun.cn/photo/000005_Sun_Piaoyang.jpg,恒瑞,Hengrui,中国-江苏-连云港,China-Jiangsu-Lianyun Port,医药,Pharmaceuticals,未知,675.0,-41%,10500.0,2021-10-27
82,-4,梁稳根,Liang Wengen,65,中国-湖南-娄底,China-Hunan-Yandi,先生,https://res.hurun.cn/photo/000082_Liang_Wengen.jpg,三一,Sany,中国-北京,China-Beijing,重型机械,Heavy Machinery,未知,670.0,24%,10400.0,2021-10-27
83,267,蒋卫平,Jiang Weiping,66,中国-四川-成都,China - Sichuan-Chengdu,先生,https://res.hurun.cn/default/icon_men.jpg,天齐,Tianqi,中国-四川-遂宁,China-Sichuan-Suining,锂矿,Mining,未知,660.0,326%,10200.0,2021-10-27
84,439,曹仁贤,Cao Renxian,53,中国-浙江-杭州,China-Zhejiang-Hangzhou,先生,https://res.hurun.cn/default/icon_men.jpg,阳光电源,Sungrow Power Supply,中国-安徽-合肥,China-Anhui-Hefei,光伏设备,Electric Equipment and Machinery,未知,650.0,491%,10100.0,2021-10-27
85,New,邓伟明,Deng Weiming,53,中国-湖南-长沙,China -Hunan-Changsha,先生,https://res.hurun.cn/default/icon_men.jpg,中伟股份,Cngr,中国-湖南-长沙,China-Hunan-Changsha,工业产品,Industrial Products,未知,645.0,New,10000.0,2021-10-27
86,120,李平,Li Ping,53,,,先生,https://res.hurun.cn/default/icon_men.jpg,宁德时代,CATL,中国-福建-宁德,China-Fujian-Ningde,锂电池,Battery Technology,未知,640.0,151%,9940.0,2021-10-27
87,New,蔡崇信,Joseph Tsai Chung-Hsin,57,中国-台湾,China-Taiwan,先生,https://res.hurun.cn/default/icon_men.jpg,阿里系,Alibaba,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务、金融科技,"E-Commerce, Fintech",未知,630.0,New,9780.0,2021-10-27
88,-4,杜双华,Du Shuanghua,56,中国-河北-衡水,China-Hebei-Hengshui,先生,https://res.hurun.cn/default/icon_men.jpg,日照钢铁,Rizhao Iron and Steel,中国-山东-日照,China-Shandong-Sunshine,钢铁,Steel,未知,620.0,24%,9630.0,2021-10-27
89,-30,陈志平,Chen Zhiping,45,,,先生,https://res.hurun.cn/photo/005217_Chen_Zhiping.jpg,思摩尔,Smoore,中国-广东-深圳,China-Guangdong-Shenzhen,电子烟,Consumer Electronics,未知,605.0,-5%,9390.0,2021-10-27
90,-36,朱保国,Zhu Baoguo,59,中国-河南-新乡,China - Henan - Xinxiang,先生,https://res.hurun.cn/photo/000058_Zhu_Baoguo.jpg,健康元,Joint Care,中国-广东-深圳,China-Guangdong-Shenzhen,医药,Pharmaceuticals,未知,600.0,-13%,9320.0,2021-10-27
91,-19,郭广昌,Guo Guangchang,54,中国-浙江-金华,China-Zhejiang-Jinhua,先生,https://res.hurun.cn/photo/000045_Guo_Guangchang.jpg,复星,Fosun,中国-上海-黄浦,China-Shanghai-Huangpu,投资,"Investment, Steel, Pharmaceuticals",未知,595.0,4%,9240.0,2021-10-27
91,15,姚良松,Yao Liangsong,57,中国-江西-景德镇,China-Jiangxi-Jingdezhen,先生,https://res.hurun.cn/default/icon_men.jpg,欧派家居,Oppein,中国-广东-广州,China-Guangdong-Guangzhou,橱柜,Furniture,未知,595.0,37%,9240.0,2021-10-27
93,New,郭台铭,Terry Guo Tai-Ming,71,中国-台湾-新北,China-Taiwan-New North,先生,https://res.hurun.cn/default/icon_men.jpg,鸿海,Hon Hai,中国-台湾-台北,China-Taiwan-Taipei,电子制造,Manufacturing,未知,590.0,New,9160.0,2021-10-27
93,-22,黄楚龙,Huang Chulong,62,中国-广东-揭阳,China-Guangdong-Jieyang,先生,https://res.hurun.cn/photo/000102_Huang_Chulong.jpg,星河,Galaxy,中国-广东-深圳,China-Guangdong-Shenzhen,房地产、投资,"Real Estate, Investments",未知,590.0,2%,9160.0,2021-10-27
95,-16,陈丽华,Chen Lihua,80,中国-北京,China-Beijing,女士,https://res.hurun.cn/default/icon_women.jpg,富华,Fu Wah,中国-北京,China-Beijing,房地产、紫檀博物馆,"Real Estate, Red Sandalwood Museum",未知,580.0,9%,9010.0,2021-10-27
95,New,杜纪川,John Tu,80,中国-重庆,China-Chongqing,先生,https://res.hurun.cn/default/icon_men.jpg,金士顿科技,Kingston Technology,美国-洛杉矶,United States-Los Angeles,半导体,Semiconductor,未知,580.0,New,9010.0,2021-10-27
95,New,孙大卫,David Sun,70,中国-台湾-台北,China-Taiwan-Taipei,先生,https://res.hurun.cn/default/icon_men.jpg,金士顿科技,Kingston Technology,美国-洛杉矶,United States-Los Angeles,半导体,Semiconductor,未知,580.0,New,9010.0,2021-10-27
95,-36,谢炳,Xie Bing,69,中国-广东-汕头,China-Guangdong-Shantou,先生,https://res.hurun.cn/default/icon_men.jpg,中生制药,Sino Biopharmaceutical,中国-北京,China-Beijing,医药,Pharmaceuticals,未知,580.0,-9%,9010.0,2021-10-27
99,-25,沈国军,Shen Guojun,59,中国-浙江-宁波,China-Zhejiang-Ningbo,先生,https://res.hurun.cn/photo/000053_Shen_Guojun.jpg,银泰,Yintai,中国-北京,China-Beijing,零售、房地产、物流,"Retail, Real Estate",未知,575.0,3%,8930.0,2021-10-27
